descriptor,n_missing,n_total,missing_pct
SM1_Dt,6112,6112,100.0
Mor13m,6112,6112,100.0
Mor21m,6112,6112,100.0
Mor20m,6112,6112,100.0
Mor19m,6112,6112,100.0
Mor18m,6112,6112,100.0
Mor17m,6112,6112,100.0
Mor16m,6112,6112,100.0
Mor15m,6112,6112,100.0
Mor14m,6112,6112,100.0
Mor12m,6112,6112,100.0
MINsSnH3,6112,6112,100.0
Mor11m,6112,6112,100.0
Mor10m,6112,6112,100.0
Mor09m,6112,6112,100.0
Mor08m,6112,6112,100.0
Mor07m,6112,6112,100.0
Mor06m,6112,6112,100.0
Mor05m,6112,6112,100.0
Mor04m,6112,6112,100.0
Mor22m,6112,6112,100.0
Mor23m,6112,6112,100.0
Mor24m,6112,6112,100.0
Mor25m,6112,6112,100.0
Mor10v,6112,6112,100.0
Mor09v,6112,6112,100.0
Mor08v,6112,6112,100.0
Mor07v,6112,6112,100.0
Mor06v,6112,6112,100.0
Mor05v,6112,6112,100.0
Mor04v,6112,6112,100.0
Mor03v,6112,6112,100.0
Mor02v,6112,6112,100.0
Mor01v,6112,6112,100.0
Mor32m,6112,6112,100.0
Mor31m,6112,6112,100.0
Mor30m,6112,6112,100.0
Mor29m,6112,6112,100.0
Mor28m,6112,6112,100.0
Mor27m,6112,6112,100.0
Mor26m,6112,6112,100.0
Mor03m,6112,6112,100.0
Mor02m,6112,6112,100.0
Mor01m,6112,6112,100.0
Mor10se,6112,6112,100.0
Mor11,6112,6112,100.0
Mor10,6112,6112,100.0
Mor09,6112,6112,100.0
Mor08,6112,6112,100.0
Mor07,6112,6112,100.0
Mor06,6112,6112,100.0
Mor05,6112,6112,100.0
Mor04,6112,6112,100.0
Mor03,6112,6112,100.0
Mor02,6112,6112,100.0
Mor01,6112,6112,100.0
MINssssPb,6112,6112,100.0
MINsssPbH,6112,6112,100.0
MINssPbH2,6112,6112,100.0
MINsPbH3,6112,6112,100.0
MINssssSn,6112,6112,100.0
MINsssSnH,6112,6112,100.0
Mor12,6112,6112,100.0
Mor13,6112,6112,100.0
Mor32,6112,6112,100.0
Mor14,6112,6112,100.0
Mor31,6112,6112,100.0
Mor30,6112,6112,100.0
Mor29,6112,6112,100.0
Mor28,6112,6112,100.0
Mor27,6112,6112,100.0
Mor26,6112,6112,100.0
Mor25,6112,6112,100.0
Mor24,6112,6112,100.0
Mor23,6112,6112,100.0
Mor22,6112,6112,100.0
Mor21,6112,6112,100.0
Mor20,6112,6112,100.0
Mor19,6112,6112,100.0
Mor18,6112,6112,100.0
Mor17,6112,6112,100.0
Mor16,6112,6112,100.0
Mor15,6112,6112,100.0
Mor11v,6112,6112,100.0
Mor12v,6112,6112,100.0
Mor13v,6112,6112,100.0
Mor27se,6112,6112,100.0
Mor29se,6112,6112,100.0
Mor30se,6112,6112,100.0
Mor31se,6112,6112,100.0
Mor32se,6112,6112,100.0
Mor05se,6112,6112,100.0
Mor04se,6112,6112,100.0
Mor01p,6112,6112,100.0
Mor02p,6112,6112,100.0
Mor03p,6112,6112,100.0
Mor04p,6112,6112,100.0
Mor05p,6112,6112,100.0
Mor06p,6112,6112,100.0
Mor03se,6112,6112,100.0
Mor07p,6112,6112,100.0
Mor08p,6112,6112,100.0
Mor09p,6112,6112,100.0
Mor10p,6112,6112,100.0
Mor28se,6112,6112,100.0
Mor06se,6112,6112,100.0
Mor12p,6112,6112,100.0
Mor07se,6112,6112,100.0
Mor12se,6112,6112,100.0
Mor13se,6112,6112,100.0
Mor14se,6112,6112,100.0
Mor09se,6112,6112,100.0
Mor15se,6112,6112,100.0
Mor16se,6112,6112,100.0
Mor17se,6112,6112,100.0
Mor18se,6112,6112,100.0
Mor19se,6112,6112,100.0
Mor20se,6112,6112,100.0
Mor08se,6112,6112,100.0
Mor21se,6112,6112,100.0
Mor22se,6112,6112,100.0
Mor23se,6112,6112,100.0
Mor24se,6112,6112,100.0
Mor25se,6112,6112,100.0
Mor26se,6112,6112,100.0
Mor11p,6112,6112,100.0
Mor02se,6112,6112,100.0
Mor14v,6112,6112,100.0
Mor29p,6112,6112,100.0
Mor29v,6112,6112,100.0
Mor31p,6112,6112,100.0
Mor32p,6112,6112,100.0
Mor28v,6112,6112,100.0
Mor27v,6112,6112,100.0
Mor26v,6112,6112,100.0
Mor25v,6112,6112,100.0
